,V1,V2,angles,r,assigned_phase,gene_biotype,gene_symbols,peak_times
ENSG00000175305,-2.75032742659334,6.46572948484303,5.881001298251255,7.026375931064325,S,protein_coding,CCNE2,15.683168316831685
ENSG00000147133,-1.81279436728071,-6.069367430145331,3.4318373494044634,6.334306940791045,G1,protein_coding,TAF1,5.143714371437144
ENSG00000117650,5.966574400628019,-0.249307371419077,1.6125560397649576,5.971780659374011,G2/M,protein_coding,NEK2,22.78787878787879
ENSG00000139618,-1.4337805109070603,5.4635300943531595,6.026544809933598,5.648529688809253,S,protein_coding,BRCA2,16.08640864086409
ENSG00000080986,5.27161313370076,0.5932987312038921,1.4587219845712114,5.304894760111128,G2/M,protein_coding,NDC80,21.8973897389739
ENSG00000087586,5.139407075852009,-0.354513973853875,1.6396667797985167,5.151619672391914,G2/M,protein_coding,AURKA,22.600660066006604
ENSG00000092140,5.0729995216102095,-0.0330961577576724,1.5773202162765907,5.073107479830852,G2/M,protein_coding,G2E3,22.24542454245425
ENSG00000170540,4.926967805880361,-0.37528504518451505,1.6468191057583976,4.941239786260193,G2/M,protein_coding,ARL6IP1,21.971797179717974
ENSG00000134057,4.597500880251321,-1.2116358216123102,1.8284794889110032,4.754479541245898,G2/M,protein_coding,CCNB1,22.492649264926495
ENSG00000112742,4.70164929577383,0.556445597360574,1.452993160840274,4.734462778739792,G2/M,protein_coding,TTK,22.034203420342035
ENSG00000197061,-4.54720763266999,0.29807683433053994,4.777846951271449,4.556966869945044,S,protein_coding,HIST1H4C,12.034803480348035
ENSG00000166851,4.41981816405506,-0.546209277556135,1.693754739981399,4.453441049143845,G2/M,protein_coding,PLK1,22.682268226822686
ENSG00000131747,4.381422119874561,-0.6606394427407479,1.7204509458249841,4.430948461202284,G2/M,protein_coding,TOP2A,22.065406540654067
ENSG00000169679,3.9055938547924303,1.5334554026769298,1.1966590363855627,4.19584899997503,G2,protein_coding,BUB1,21.17731773177318
ENSG00000114346,3.54101058994399,1.83305437500415,1.0931174345436052,3.9873354937623873,G2,protein_coding,ECT2,20.946894689468948
ENSG00000092470,-1.46290333232423,3.4400262879339905,5.881095011140224,3.738163589438302,S,protein_coding,WDR76,15.287128712871288
