,V1,V2,angles,r,assigned_phase,gene_biotype,gene_symbols
ENSG00000131747,8.29723356676383,6.06348550054096,0.9397073143146801,10.276669756137096,G2,protein_coding,TOP2A
ENSG00000148773,8.08133637299275,5.80113951206038,0.9481945857670602,9.947925271725946,G2,protein_coding,MKI67
ENSG00000117724,6.16648207920176,7.017365120062469,0.7209477376076763,9.341783259174118,G2/M,protein_coding,CENPF
ENSG00000175063,6.853575078883719,4.62955442707863,0.9767068053527277,8.270687127148465,G2,protein_coding,UBE2C
ENSG00000088325,5.6989150018068395,5.974571462953401,0.7617886580194941,8.25670251152094,G2/M,protein_coding,TPX2
ENSG00000089685,6.460802980549411,4.77389490369028,0.9344363903975105,8.033184157291315,G2,protein_coding,BIRC5
ENSG00000156802,7.2057154548549995,-3.51837988859104,2.025021043442385,8.01881114983874,S,protein_coding,ATAD2
ENSG00000164104,7.35398569745805,3.1587651621814,1.1650941117643956,8.003680590092815,G2,protein_coding,HMGB2
ENSG00000119969,5.9083088514044295,-5.149514882015139,2.2876813411977666,7.837449649195797,S,protein_coding,HELLS
ENSG00000171848,7.5320929740456295,-1.38396105128059,1.7525113504496839,7.658183385185367,S,protein_coding,RRM2
ENSG00000166803,7.31648171680382,-2.08464876475716,1.8483661435266707,7.607671469295196,S,protein_coding,PCLAF
ENSG00000117399,4.550019633142361,6.080006940330289,0.6424491682474226,7.594021533841303,G2/M,protein_coding,CDC20
ENSG00000092853,5.92166344757092,-4.72095999897308,2.2438492905422085,7.573213406355417,S,protein_coding,CLSPN
ENSG00000132646,5.26352560690145,-5.09597747148646,2.340022524465184,7.326232879482116,S,protein_coding,PCNA
ENSG00000134057,3.0279661255258197,6.50045068222744,0.43592234852008344,7.171083455754998,M/G1,protein_coding,CCNB1
ENSG00000178999,5.24379906436266,4.64508565558686,0.845868427273763,7.005301519217394,G2,protein_coding,AURKB
ENSG00000066279,4.72109361123074,5.169511735575809,0.7400914057555763,7.0008982616704065,G2/M,protein_coding,ASPM
