,V1,V2,angles,r,assigned_phase,gene_biotype,peak_times,gene_symbols
ENSG00000159259,7.41713286827275,-2.862179919742,1.9390779954104187,7.950215964273315,S,protein_coding,15.683168316831685,CHAF1B
ENSG00000197299,7.00677462937439,-3.3865767994458995,2.0210183437584237,7.7822742900382185,S,protein_coding,15.579957995799582,BLM
ENSG00000143476,6.88396193208619,-2.5785755318656696,1.9291963157111618,7.351053234465667,S,protein_coding,16.014401440144017,DTL
ENSG00000147133,-6.4845667368947995,-1.3776142415171102,4.503056143693952,6.629285539458474,M/G1,protein_coding,3.864386438643865,TAF1
ENSG00000169679,1.8413734725629398,5.427711790889259,0.32706974502221886,5.731554025778418,G2/M,protein_coding,21.14851485148515,BUB1
ENSG00000134222,1.5233267156771002,5.42071450165328,0.2739538751532541,5.630690010214534,G2/M,protein_coding,21.434143414341435,PSRC1
ENSG00000092140,0.0006592249512727901,5.16684464308109,0.00012758753034668367,5.166844685135532,G2/M,protein_coding,22.514251425142515,G2E3
ENSG00000131747,3.2815762775679302,3.6717176173640698,0.7293480808679742,4.924454601999929,G2,protein_coding,21.371737173717374,TOP2A
ENSG00000129195,0.462674587733531,4.6875932562959095,0.09838328840647285,4.710371355912958,G2/M,protein_coding,22.123012301230126,PIMREG
ENSG00000134057,-1.06589988718533,4.4733439077098,6.049269081681242,4.598581116621308,M/G1,protein_coding,22.375037503750377,CCNB1
ENSG00000170312,3.6015485320815803,2.75385675013669,0.9179967567185254,4.533748871432161,G2,protein_coding,21.23012301230123,CDK1
ENSG00000132646,2.71964805019997,-3.5358012540064103,2.4859323994145437,4.460759579353028,G1/S,protein_coding,13.827782778277829,PCNA
ENSG00000092853,2.91294447404913,-2.9167035652350197,2.3568393131112506,4.1221845175038005,G1/S,protein_coding,15.450345034503451,CLSPN
ENSG00000145386,2.9371265313717903,2.88561891682455,0.7942438654067918,4.117463878945847,G2,protein_coding,21.801380138013805,CCNA2
ENSG00000117724,-0.276635908657747,4.06507795716101,6.215238257672583,4.0744798715609365,G2/M,protein_coding,22.415841584158418,CENPF
ENSG00000115163,0.382775962420772,3.97910031473302,0.09590151935179449,3.997468793138424,G2/M,protein_coding,22.255025502550257,CENPA
ENSG00000087586,0.33724794813757203,3.95057792806653,0.0851602698605494,3.964946676091551,G2/M,protein_coding,22.16861686168617,AURKA
ENSG00000075218,1.72452777093331,3.41976282209005,0.46706802269074177,3.8299835237334263,G2/M,protein_coding,21.86858685868587,GTSE1
ENSG00000178999,1.9895993013501598,3.1950590301139505,0.5569518016967575,3.76389526765102,G2/M,protein_coding,21.842184218421846,AURKB
ENSG00000175063,0.268505833810667,3.7413146457668196,0.07164493998778347,3.7509373043840206,G2/M,protein_coding,22.211821182118214,UBE2C
ENSG00000111843,3.7233808900588703,-0.39490399361786604,1.6764618982245179,3.744264202300757,S,protein_coding,16.276027602760276,TMEM14C
ENSG00000143228,1.00475594031285,3.4231167649338503,0.2855020172724303,3.567528960774551,G2/M,protein_coding,22.151815181518153,NUF2
ENSG00000170540,-0.7086729271782559,3.4361008660365897,6.079793804482061,3.5084193704990283,M/G1,protein_coding,22.61986198619862,ARL6IP1
ENSG00000184481,-3.2226855812018598,-1.3244135720451102,4.32246521321241,3.4842177981727342,G1,protein_coding,6.607860786078608,FOXO4
ENSG00000166851,0.491268958393041,3.35503997291615,0.14539390458459445,3.3908167761390153,G2/M,protein_coding,22.192619261926193,PLK1
ENSG00000117399,-0.342510877202385,3.2799983763582,6.1791383038737395,3.297833083998397,G2/M,protein_coding,22.763876387638767,CDC20
ENSG00000128944,-0.23678402618509098,3.2412518265749104,6.21026158476661,3.24988924093293,G2/M,protein_coding,22.523852385238527,KNSTRN
ENSG00000121966,2.8916673209843498,1.4777362283925701,1.0983616539095789,3.2473749792644373,G2,protein_coding,19.912391239123913,CXCR4
ENSG00000166508,3.1709199529078997,-0.164776391637621,1.6227144818311177,3.17519835710945,S,protein_coding,15.459945994599462,MCM7
ENSG00000123975,0.999298731441195,2.99409520081609,0.3221313549986933,3.15645434407183,G2/M,protein_coding,21.772577257725775,CKS2
ENSG00000148773,1.5363243059479998,2.6942187506714,0.5182420946524237,3.101468531118116,G2/M,protein_coding,21.25652565256526,MKI67
ENSG00000112118,1.4863395488368703,-2.7152710126857995,2.6407477395206955,3.0954647351840983,G1/S,protein_coding,14.23822382238224,MCM3
ENSG00000188229,2.14743765704781,2.21861249412815,0.7690977246291668,3.08767386393196,G2,protein_coding,21.61656165616562,TUBB4B
ENSG00000064995,2.46249352467471,1.8603075811882401,0.9238119769497959,3.0861980908054685,G2,protein_coding,19.87878787878788,TAF11
ENSG00000111665,1.13558407565615,2.8667968776233,0.3771536124674883,3.083516747227836,G2/M,protein_coding,21.51095109510951,CDCA3
ENSG00000114850,3.04722139608894,-0.0345856569079169,1.5821457390681326,3.047417661635172,S,protein_coding,19.746774677467748,SSR3
ENSG00000124767,3.01611652184052,0.02284098139829,1.5632234944442145,3.0162030077152617,S,protein_coding,17.233723372337234,GLO1
ENSG00000173207,0.6781916085015811,2.9317126886015403,0.22733071663484783,3.009133288232549,G2/M,protein_coding,22.063006300630065,CKS1B
ENSG00000168496,2.2727501054083596,-1.9245961479861,2.2734377256232294,2.9781644303961197,G1/S,protein_coding,14.859885988598862,FEN1
ENSG00000167670,1.6106811232279301,-2.50023411162614,2.569297006612921,2.974132527925032,G1/S,protein_coding,11.134713471347135,CHAF1A
ENSG00000197061,2.17622606296868,-2.00418809852347,2.3150643687727537,2.9585012779120583,G1/S,protein_coding,12.414041404140415,HIST1H4C
ENSG00000163918,2.03875189209131,-2.12925820861788,2.3779055928958575,2.9479229631170014,G1/S,protein_coding,15.414341434143415,RFC4
ENSG00000138764,2.87730853794343,-0.428830233231947,1.7187459645235346,2.909089168701421,S,protein_coding,16.16801680168017,CCNG2
