,assigned_phase,gene_biotype,gene_symbol,curated,mean_loading,mean_correlation,mean_peaktime,rank
ENSG00000137804,not_assigned,protein_coding,NUSAP1,automatic,3.582252750629694,0.9926277085558216,21.821821821821818,1
ENSG00000169679,not_assigned,protein_coding,BUB1,automatic,4.222641592214205,0.9894607175683339,21.453453453453452,2
ENSG00000092140,G2/M,protein_coding,G2E3,automatic,4.302552155985542,0.9871981818820247,22.286286286286288,3
ENSG00000129195,G2/M,protein_coding,PIMREG,automatic,3.575741774287702,0.9871823016212761,22.3983983983984,4
ENSG00000112984,G2/M,protein_coding,KIF20A,automatic,2.325834357447741,0.986845875243699,22.134134134134133,5
ENSG00000185262,G2/M,protein_coding,UBALD2,automatic,2.166844488355008,0.9857709902063893,22.31831831831832,6
ENSG00000174371,S,protein_coding,EXO1,automatic,1.3499430047072432,0.98340436204948,16.0,7
ENSG00000134057,not_assigned,protein_coding,CCNB1,automatic,5.508048037874068,0.982916592760967,22.47047047047047,8
ENSG00000170540,not_assigned,protein_coding,ARL6IP1,automatic,4.369881269367682,0.9801356618758176,22.35035035035035,9
ENSG00000087586,G2/M,protein_coding,AURKA,automatic,5.245235620835397,0.9791810521196097,22.126126126126124,10
ENSG00000080986,not_assigned,protein_coding,NDC80,automatic,3.3203086805737576,0.9779349736852191,21.725725725725724,11
ENSG00000076003,S,protein_coding,MCM6,automatic,2.970577904673158,0.9775921557457478,15.183183183183182,12
ENSG00000166851,G2/M,protein_coding,PLK1,automatic,4.646596446849903,0.9756262183448792,22.23023023023023,13
ENSG00000072571,G2/M,protein_coding,HMMR,automatic,3.828878417188751,0.9755096722196707,21.901901901901905,14
ENSG00000143228,G2/M,protein_coding,NUF2,automatic,3.1143397090688674,0.9714819856810584,22.046046046046047,15
ENSG00000168476,G2/M,protein_coding,REEP4,automatic,1.580046932871573,0.9701803043717793,21.893893893893893,16
ENSG00000175305,not_assigned,protein_coding,CCNE2,automatic,3.5316504880581,0.9682060047300031,15.711711711711713,17
ENSG00000163535,not_assigned,protein_coding,SGO2,automatic,3.1015723780903257,0.9674962671666997,22.102102102102105,18
ENSG00000128944,not_assigned,protein_coding,KNSTRN,automatic,2.9203128008226567,0.966975438345704,22.086086086086084,19
ENSG00000117724,G2/M,protein_coding,CENPF,automatic,5.558233140502371,0.9665765895060873,22.31031031031031,20
ENSG00000115163,G2/M,protein_coding,CENPA,automatic,3.9641848033497737,0.9660180857257846,22.47047047047047,21
ENSG00000188229,G2,protein_coding,TUBB4B,automatic,2.5802136920049303,0.9639344830987105,21.645645645645647,22
ENSG00000117399,G2/M,protein_coding,CDC20,automatic,4.451140409463893,0.9635529492431321,22.614614614614613,23
ENSG00000143476,S,protein_coding,DTL,automatic,4.295020416085215,0.9625319486857117,15.55155155155155,24
ENSG00000165704,S,protein_coding,HPRT1,automatic,1.5799288429521934,0.9624336523796843,17.193193193193192,25
ENSG00000078668,not_assigned,protein_coding,VDAC3,automatic,1.606661536644599,0.9623780361886922,19.099099099099096,26
ENSG00000142945,G2/M,protein_coding,KIF2C,automatic,3.0451936345989545,0.9599952420579866,22.222222222222218,27
ENSG00000075131,S,protein_coding,TIPIN,automatic,1.2586025864657868,0.9592031567166893,16.35235235235235,28
ENSG00000091651,S,protein_coding,ORC6,automatic,2.115146247662791,0.9589673143625346,17.105105105105107,29
ENSG00000145386,not_assigned,protein_coding,CCNA2,automatic,3.95816407621343,0.956367996054157,21.621621621621625,30
ENSG00000161800,G2/M,protein_coding,RACGAP1,automatic,2.59284369937982,0.9551054687023525,21.581581581581577,31
ENSG00000075218,G2/M,protein_coding,GTSE1,automatic,4.470685195784433,0.9527970165044759,22.102102102102105,32
ENSG00000138160,not_assigned,protein_coding,KIF11,automatic,2.1928408506393917,0.9524399845486684,22.11011011011011,33
ENSG00000122952,S,protein_coding,ZWINT,automatic,2.3477562071483447,0.9515726534843542,19.843843843843842,34
ENSG00000168496,not_assigned,protein_coding,FEN1,automatic,3.609943851793721,0.9515237421314987,14.014014014014014,35
ENSG00000100297,not_assigned,protein_coding,MCM5,automatic,3.5764331199600203,0.950773831985478,14.87887887887888,36
ENSG00000164109,not_assigned,protein_coding,MAD2L1,automatic,2.096559741650648,0.9502945289659283,21.477477477477475,37
ENSG00000138778,not_assigned,protein_coding,CENPE,automatic,3.3632124576867994,0.9502825507742655,22.366366366366368,38
ENSG00000159259,S,protein_coding,CHAF1B,automatic,3.789158460876146,0.949266963528598,15.215215215215215,39
ENSG00000126787,not_assigned,protein_coding,DLGAP5,automatic,4.053315852418053,0.9492626139546182,22.462462462462465,40
ENSG00000182481,G2/M,protein_coding,KPNA2,automatic,3.445731382994083,0.9464063377856481,22.126126126126128,41
ENSG00000157456,G2/M,protein_coding,CCNB2,automatic,3.321951834102892,0.9429026923138207,22.19019019019019,42
ENSG00000164754,not_assigned,protein_coding,RAD21,automatic,1.8897932402052078,0.942856412400697,22.39039039039039,43
ENSG00000134222,G2/M,protein_coding,PSRC1,automatic,3.81123971906513,0.9422643157528188,22.054054054054053,44
ENSG00000132646,not_assigned,protein_coding,PCNA,automatic,4.296666502793296,0.9418251232467182,14.510510510510512,45
ENSG00000101412,not_assigned,protein_coding,E2F1,automatic,2.846805916222746,0.9418055319674746,15.487487487487487,46
ENSG00000121579,S,protein_coding,NAA50,automatic,1.6984237942066942,0.9386747614080173,19.379379379379376,47
ENSG00000170312,not_assigned,protein_coding,CDK1,automatic,4.021791666867524,0.9375429329008536,21.54954954954955,48
ENSG00000094804,not_assigned,protein_coding,CDC6,automatic,2.8645986624694513,0.9368207117771757,14.7987987987988,49
ENSG00000065328,not_assigned,protein_coding,MCM10,automatic,2.48229380463532,0.9366641086508302,15.735735735735735,50
ENSG00000100526,G2/M,protein_coding,CDKN3,automatic,3.3614206613945163,0.9343699336273397,22.502502502502505,51
ENSG00000143401,not_assigned,protein_coding,ANP32E,automatic,2.085501968761042,0.9339743936411772,21.405405405405403,52
ENSG00000276043,not_assigned,protein_coding,UHRF1,automatic,2.885177593431002,0.9339742011039043,15.11911911911912,53
ENSG00000175063,not_assigned,protein_coding,UBE2C,automatic,5.086610517124849,0.933869968439219,22.07007007007007,54
ENSG00000164611,not_assigned,protein_coding,PTTG1,automatic,3.006491002421989,0.9326001419179999,22.87887887887888,55
ENSG00000035499,G2/M,protein_coding,DEPDC1B,automatic,1.8295932662935643,0.9304718956000694,21.55755755755756,56
ENSG00000169607,not_assigned,protein_coding,CKAP2L,automatic,2.453067198182103,0.9292646479199748,22.022022022022018,57
ENSG00000152253,not_assigned,protein_coding,SPC25,automatic,2.096792848120042,0.9275662002012677,21.645645645645644,58
ENSG00000092853,not_assigned,protein_coding,CLSPN,automatic,4.964339450921206,0.9244924830528168,14.974974974974975,59
ENSG00000076248,not_assigned,protein_coding,UNG,automatic,2.8076090556474433,0.9238362213911061,14.566566566566566,60
ENSG00000136108,G2/M,protein_coding,CKAP2,automatic,3.0862758425752275,0.9186720561840631,22.222222222222218,61
ENSG00000183155,S,protein_coding,RABIF,automatic,1.2826743422169675,0.9150810915797253,15.375375375375375,62
