,assigned_phase,gene_biotype,gene_symbol,curated,mean_loading,mean_correlation,mean_peaktime,rank
ENSG00000185262,G2/M,protein_coding,UBALD2,automatic,2.166844488355008,0.9857709902063893,22.31831831831832,6
ENSG00000170540,not_assigned,protein_coding,ARL6IP1,automatic,4.369881269367682,0.9801356618758176,22.35035035035035,9
ENSG00000168476,G2/M,protein_coding,REEP4,automatic,1.580046932871573,0.9701803043717793,21.893893893893893,16
ENSG00000163535,not_assigned,protein_coding,SGO2,automatic,3.1015723780903257,0.9674962671666997,22.102102102102105,18
ENSG00000128944,not_assigned,protein_coding,KNSTRN,automatic,2.9203128008226567,0.966975438345704,22.086086086086084,19
ENSG00000078668,not_assigned,protein_coding,VDAC3,automatic,1.606661536644599,0.9623780361886922,19.099099099099096,26
ENSG00000122952,S,protein_coding,ZWINT,automatic,2.3477562071483447,0.9515726534843542,19.843843843843842,34
ENSG00000164109,not_assigned,protein_coding,MAD2L1,automatic,2.096559741650648,0.9502945289659283,21.477477477477475,37
ENSG00000182481,G2/M,protein_coding,KPNA2,automatic,3.445731382994083,0.9464063377856481,22.126126126126128,41
ENSG00000121579,S,protein_coding,NAA50,automatic,1.6984237942066942,0.9386747614080173,19.379379379379376,47
ENSG00000035499,G2/M,protein_coding,DEPDC1B,automatic,1.8295932662935643,0.9304718956000694,21.55755755755756,56
ENSG00000152253,not_assigned,protein_coding,SPC25,automatic,2.096792848120042,0.9275662002012677,21.645645645645644,58
ENSG00000066279,not_assigned,protein_coding,ASPM,automatic,4.0052000997378405,0.9144333166164128,22.47047047047047,63
ENSG00000068489,G2/M,protein_coding,PRR11,automatic,2.9062639811286073,0.914086175099,22.182182182182185,64
ENSG00000154473,not_assigned,protein_coding,BUB3,automatic,2.6183984492497996,0.9133722012918124,21.381381381381384,66
ENSG00000204356,not_assigned,protein_coding,NELFE,automatic,1.703634765343139,0.9017977904218811,21.805805805805807,73
ENSG00000116489,not_assigned,protein_coding,CAPZA1,automatic,1.4342994572413608,0.9010183078035542,21.093093093093092,74
ENSG00000168078,not_assigned,protein_coding,PBK,automatic,2.8732580529877993,0.8994906608230169,21.58958958958959,75
ENSG00000006634,not_assigned,protein_coding,DBF4,automatic,2.3789380290338755,0.8974032099392781,21.773773773773772,78
ENSG00000127483,not_assigned,protein_coding,HP1BP3,automatic,1.936508388298872,0.8883919812421673,21.997997997998,86
ENSG00000129810,not_assigned,protein_coding,SGO1,automatic,2.1041449671162282,0.8876163698863652,22.118118118118115,87
ENSG00000112983,not_assigned,protein_coding,BRD8,automatic,1.551642481159087,0.8869757756933868,21.541541541541537,88
ENSG00000164985,not_assigned,protein_coding,PSIP1,automatic,1.7914867325738786,0.8558826963131395,19.13113113113113,98
ENSG00000121957,G2/M,protein_coding,GPSM2,automatic,2.1315165915236562,0.8547356964258178,22.134134134134133,99
ENSG00000105355,not_assigned,protein_coding,PLIN3,automatic,1.330442734745649,0.8302005489875796,23.53553553553554,108
ENSG00000141030,not_assigned,protein_coding,COPS3,automatic,1.669656232176939,0.8298056716408991,19.163163163163166,109
ENSG00000115355,not_assigned,protein_coding,CCDC88A,automatic,1.5130045639665592,0.8265901017582062,22.334334334334333,110
ENSG00000125944,not_assigned,protein_coding,HNRNPR,automatic,1.3609474036101987,0.8264978723996778,20.036036036036037,111
ENSG00000170638,not_assigned,protein_coding,TRABD,automatic,1.2518566376431057,0.8024760145454358,24.47247247247247,118
ENSG00000198826,not_assigned,protein_coding,ARHGAP11A,automatic,2.53403572791311,0.7976608213404831,22.31031031031031,119
ENSG00000087087,not_assigned,protein_coding,SRRT,automatic,1.3453448974600726,0.7883931911318172,19.33933933933934,121
ENSG00000079616,not_assigned,protein_coding,KIF22,automatic,2.130206346686473,0.7761355036623986,21.94994994994995,123
ENSG00000188486,not_assigned,protein_coding,H2AFX,automatic,2.751126589474651,0.7610699627230714,21.653653653653652,125
ENSG00000121644,not_assigned,protein_coding,DESI2,automatic,1.4514881175764518,0.7567754375879234,22.75875875875876,126
ENSG00000275700,not_assigned,protein_coding,AATF,automatic,1.3138476742723109,0.7267351277042332,21.621621621621625,132
ENSG00000169062,not_assigned,protein_coding,UPF3A,automatic,1.424022302607387,0.7239945250085658,21.133133133133132,133
