,assigned_phase,gene_biotype,gene_symbol,curated,mean_loading,mean_correlation,mean_peaktime,rank
ENSG00000185262,G2/M,protein_coding,UBALD2,automatic,2.166844488355008,0.9857709902063893,22.31831831831832,6
ENSG00000170540,not_assigned,protein_coding,ARL6IP1,automatic,4.369881269367682,0.9801356618758176,22.35035035035035,9
ENSG00000168476,G2/M,protein_coding,REEP4,automatic,1.580046932871573,0.9701803043717793,21.893893893893893,16
ENSG00000163535,not_assigned,protein_coding,SGO2,automatic,3.1015723780903257,0.9674962671666997,22.102102102102105,18
ENSG00000128944,not_assigned,protein_coding,KNSTRN,automatic,2.9203128008226567,0.966975438345704,22.086086086086084,19
ENSG00000165704,S,protein_coding,HPRT1,automatic,1.5799288429521934,0.9624336523796843,17.193193193193192,25
ENSG00000078668,not_assigned,protein_coding,VDAC3,automatic,1.606661536644599,0.9623780361886922,19.099099099099096,26
ENSG00000091651,S,protein_coding,ORC6,automatic,2.115146247662791,0.9589673143625346,17.105105105105107,29
ENSG00000122952,S,protein_coding,ZWINT,automatic,2.3477562071483447,0.9515726534843542,19.843843843843842,34
ENSG00000164109,not_assigned,protein_coding,MAD2L1,automatic,2.096559741650648,0.9502945289659283,21.477477477477475,37
ENSG00000182481,G2/M,protein_coding,KPNA2,automatic,3.445731382994083,0.9464063377856481,22.126126126126128,41
ENSG00000121579,S,protein_coding,NAA50,automatic,1.6984237942066942,0.9386747614080173,19.379379379379376,47
ENSG00000065328,not_assigned,protein_coding,MCM10,automatic,2.48229380463532,0.9366641086508302,15.735735735735735,50
ENSG00000035499,G2/M,protein_coding,DEPDC1B,automatic,1.8295932662935643,0.9304718956000694,21.55755755755756,56
ENSG00000152253,not_assigned,protein_coding,SPC25,automatic,2.096792848120042,0.9275662002012677,21.645645645645644,58
ENSG00000183155,S,protein_coding,RABIF,automatic,1.2826743422169675,0.9150810915797253,15.375375375375375,62
ENSG00000066279,not_assigned,protein_coding,ASPM,automatic,4.0052000997378405,0.9144333166164128,22.47047047047047,63
ENSG00000068489,G2/M,protein_coding,PRR11,automatic,2.9062639811286073,0.914086175099,22.182182182182185,64
ENSG00000154473,not_assigned,protein_coding,BUB3,automatic,2.6183984492497996,0.9133722012918124,21.381381381381384,66
